user_id,user_community,user_active_status,q_anon_tweet_ids,q_anon_retweeted_ids,q_anon_terms_in_description
409215223,2,active,[],[],"['wga', 'wwg1wga', 'awake', 'wwg', 'greatawakening']"
1125737829009633281,2,suspended,[],"['1329387355749437440', '1330471627038076928', '1334271889963970563']",[]
1218296732498432000,2,suspended,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
1325156742,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1312788282103693317,2,active,[],[],['awake']
1239740495116582914,1,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1318414849660002306,2,suspended,['1325692937200545794'],[],[]
247142846,,active,[],[],['awake']
1267427170093154305,,active,[],[],['awake']
890539451813945344,2,active,[],[],"['wga', 'wwg1wga', 'wwg']"
2749012589,2,active,[],['1329919280855408641'],[]
1288657993152724994,1,active,['1336526953453641730'],[],"['wga', 'wwg1wga', 'wwg']"
30112876,2,active,[],['1329919280855408641'],[]
3026605192,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
882229872587935744,2,suspended,[],['1329919280855408641'],"['wga', 'wwg1wga', 'wwg']"
1114515411058548736,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
47833617,2,suspended,[],"['1324294661515587584', '1324369252237910017', '1329919280855408641', '1331681040801423362', '1331705708908326912', '1331787439094996992', '1332763435336130563', '1333167789822119938', '1333892457688395776', '1334557685254123521', '1335286002840195078']",['qanon']
1206672938688274432,1,active,[],[],"['wga', 'wwg1wga', 'wwg']"
994644673456214016,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1362994952,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
872674012203188226,2,active,[],['1327769213465993217'],[]
930449316,2,suspended,[],[],"['wga', 'wwg1wga', 'awake', 'wwg', 'greatawakening']"
4922868578,2,suspended,[],"['1329919280855408641', '1330145653213814785']",[]
1137943687227432960,,active,[],[],['savethechildren']
3460881017,,active,[],[],"['wga', 'wwg1wga', 'awake', 'wwg', 'thegreatawakening', 'greatawakening']"
357849448,2,active,[],[],"['wga', 'wwg1wga', 'wwg']"
4875086776,2,deleted,[],[],['cabal']
915158761475624960,2,suspended,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
951327661,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1251594633982836736,2,active,[],['1329919280855408641'],[]
789959533137235968,2,suspended,[],['1324193895975145472'],[]
1284613408948723712,2,active,[],['1329919280855408641'],[]
923584924963176448,2,suspended,[],[],"['awake', 'greatawakening']"
313670857,2,suspended,[],['1331421703277326341'],"['wga', 'wwg1wga', 'awake', 'wwg']"
1205608770,2,suspended,[],[],"['patriqts', 'wga', 'wwg1wga', 'wwg']"
53540782,,active,[],[],"['wga', 'wwg1wga', 'wwg']"
926635726506164225,2,suspended,[],"['1333130738074406914', '1336783586633129986', '1336788292495429633']",[]
1259576009541681160,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
753321800,2,active,[],['1329919280855408641'],[]
952763719200620545,,suspended,[],[],['awake']
1275158669055922177,2,suspended,[],[],"['wga', 'qanon', 'wwg1wga', 'awake', 'wwg', 'thegreatawakening', 'greatawakening']"
19748868,2,suspended,[],['1324074370109755394'],"['wga', 'wwg1wga', 'wwg']"
1325259769771274248,,suspended,[],[],"['awake', 'greatawakening']"
582452539,3,active,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
1141396562142224384,2,active,[],[],['qanon']
45841922,2,suspended,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
1215341575628378114,2,suspended,[],[],['thestorm']
1028740865835982848,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1852524116,,suspended,[],[],"['awake', 'thegreatawakening', 'thestorm', 'greatawakening']"
1094732017873301504,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
477864155,1,active,[],[],['awake']
1232692932391702528,2,active,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
1263193307699646465,1,suspended,['1325283995475718151'],[],"['wga', 'wwg1wga', 'wwg', 'savethechildren']"
789899305892970496,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1009316741762015232,,active,[],[],"['wga', 'wwg1wga', 'wwg']"
1311281562839904256,2,active,[],"['1325532081087258624', '1325763079486005249', '1326041295853219844', '1326121227665231876', '1326121435623018498', '1326122619679236096', '1326122909744697350', '1326123412968902656', '1326472853659680769', '1329903534377213956']",[]
132623826,2,suspended,['1325072093478854659'],[],"['wga', 'wwg1wga', 'wwg']"
1098968256889536514,2,suspended,[],['1329919280855408641'],"['wga', 'wwg1wga', 'wwg']"
1060170159913091073,2,deleted,[],[],['savethechildren']
775328913849454592,2,deleted,[],['1326851533368156171'],[]
1260039755598721025,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
41364831,,active,[],['1333289036857925632'],[]
1003128155421454336,,deleted,[],['1333966328546414593'],[]
1280444019198361600,,suspended,['1332636385388408832'],[],[]
954203302257807360,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1169300518302289926,1,suspended,[],[],"['wga', 'wwg1wga', 'awake', 'wwg']"
4810400662,1,suspended,[],[],"['wga', 'wwg1wga', 'awake', 'wwg', 'greatawakening']"
1129476920264077313,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2841805125,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1101915181070929922,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
18261890,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
607548922,,active,[],['1334271889963970563'],[]
1044018816064376832,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
50523105,2,suspended,[],['1330560625089667074'],[]
1450617726,2,active,[],[],"['wga', 'qanon', 'wwg1wga', 'awake', 'wwg', 'thegreatawakening', 'greatawakening']"
994329292023746560,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
42224694,2,suspended,[],['1327316283046629378'],"['wga', 'qanon', 'wwg1wga', 'wwg', 'qproofs']"
1244716174404976649,0,active,[],[],['savethechildren']
1243952424899039233,2,active,['1325076391273123843'],[],[]
471145619,2,active,[],['1327287361001168896'],[]
1070173783821037568,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1092190865706176512,0,active,[],['1333433824198488124'],['wwg']
2464641842,2,active,[],['1326851533368156171'],[]
317951213,2,suspended,[],[],"['wga', 'wwg1wga', 'awake', 'wwg']"
469763,0,active,[],[],['wga']
3191787776,2,suspended,[],[],['qanon']
1175729286,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
485988247,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2763583489,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2402032782,2,suspended,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
321185038,1,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
979134102229082112,2,deleted,[],['1323854910631350272'],[]
871916805031251968,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2717240175,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
767012864062173184,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2750062321,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1151738950236561408,2,suspended,[],[],['qanon']
98118228,2,suspended,[],['1334271889963970563'],[]
811046587808043008,2,active,['1337155565244489728'],[],[]
3266230939,2,suspended,[],['1329919280855408641'],[]
2258366634,2,suspended,[],[],['savethechildren']
1232845457879117824,2,active,[],['1330580291770003456'],[]
1325551921541783552,2,suspended,['1325612105681137665'],['1325612105681137665'],[]
729399067,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
711382023210926081,2,active,[],['1331085095260852225'],[]
1251939651633451008,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1302758950899798019,2,suspended,[],['1331787439094996992'],[]
1297554229641596928,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
754241275,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
77850977,2,active,[],['1333892457688395776'],[]
